start	end	text
0	3000	Los... Los cierro.
6000	7000	Yo lo prendí.
7000	8000	Y tú un celular.
8000	9000	El internet.
9000	10000	Yo lo prendí.
17000	19000	¿Qué tú? Pero me queda muy ancho esta tonta.
19000	21000	No, no. Te queda muy apretado.
21000	22000	¡No!
22000	23000	Esta se queda bien.
23000	24000	Esta se queda bien.
24000	25000	Tú has usado pantalones muy apretados.
25000	30000	¿Pero a este cómo me queda? Bien.
30000	32000	No te lo compré a mí.
32000	34000	Parece que yo tengo un problema con los pantalones apretados.
34000	36000	No, no digo el real.
38000	41000	No me día que el mismo coche, hombre.
41000	43000	¡Ay, Dios mío, el mismo coche!
44000	46000	Ve, ve, habla.
46000	47000	¿Pero te acaba?
47000	48000	Sí.
48000	51000	Mmm... bárame la��me 약간.
52000	54000	No, pero salta alguien.
56000	57000	Montes.
58000	59000	Aquí estoy en medias, el sol tú.
59000	60600	Pá' te vengo un poco a...
61000	62000	Se va a ganar un hombre.
64000	66000	Se va a ganar un asunto, álvaro.
66000	67000	¿Sí?
67000	69000	Se va a ganar un asunto.
72000	73000	pick up the phone.
73000	74000	Ya no chill.
74000	76000	Saúl, a ver si se llama a creer.
76000	77000	No, no.
88500	90500	Yo me atreveré, ¿por qué?
92500	94000	Hay un policía aquí.
94000	95000	Uno.
95500	96500	Dos.
96500	117000	Sí, lo durmieron en el vacío donde estaban, cogieron la misma ruta que cogieron ayer y ahora están de vuelta en la misma área.
117000	122000	El celular sigue durmiendo cada cierto tiempo y me dando las señales exactamente donde están.
122000	124000	Yo supongo, ¿dónde están?
124000	125500	En la misma dirección de ayer.
125500	127500	No, se siguen moviendo.
127500	132500	Yo les dije, la misma ruta que tomaron para regresarse al barrio, tomaron esta mañana para regresarse.
132500	134500	Pero ésta ha estado ahí por como una hora.
134500	135500	Sí.
135500	137500	Han estado ahí, sí.
141500	142500	Bueno, acompañarnos, ¿no?
142500	146500	Nos prestan la esta para irnos a ver.
146500	148500	Se la seguimiento.
148500	150500	¿Pero se la hay?
150500	151500	Claro.
151500	152500	Acompañarnos no quieren.
152500	154500	¿Qué dirección es esa?
154500	156500	Un celular.
156500	158500	Se habló de una dirección y ya está en...
158500	159500	Bueno.
159500	161500	¿Quién es el sector?
161500	163500	Es la conversación que estábamos teniendo.
163500	169500	Ustedes no pueden en el sistema comunicarse con sus colegas para que en el sistema puedan averiguar quién...
169500	171500	Vaya gente, no solo ustedes.
171500	173500	No van a ir para allá.
173500	174500	¿Por qué no van a ir?
174500	182500	Las situaciones que le van a decir lo mismo, le van a pedir que alguien, la persona interesada que esté en el lugar, eso le van a pedir.
182500	186500	¿Ustedes hicieron ayuda por fuera de lo que sucedió?
186500	187500	Claro.
187500	190500	Lo reportamos por la radio, usted escuchó que alertamos...
190500	193500	No, hay algún documento estadístico de que sucedió.
193500	196500	El parte policial que efectivamente, que sí se realiza.
196500	198500	¿Usted hizo parte policial?
198500	199500	Efectivamente.
199500	203500	Ahoritito no le ando a calgar, pero sí se realiza la parte policial, sí.
203500	208500	¿Y cómo hicieron parte policial sin verificar que las víctimas están de acuerdo con lo que se escribió?
208500	212500	No, no, no, esa es la verdad que ustedes nos dieron.
212500	220500	Que se han bajado del bus, han estado caminando por la 6 de diciembre y un aproximado de entre 7 y 10 personas les han abordado,
220500	229500	han procedido a sustraerle lo que es un teléfono, una cartera la cual tenía dinero y documentos personales.
229500	231500	Pero no hemos visto ese documento.
231500	233500	No, pero eso es lo que usted nos dijo.
233500	235500	El documento usted puede encontrar...
235500	239500	¿Usted en el documento usted no pone sus nombres? ¿Por qué no nos pregunta nombres?
239500	240500	No, yo tengo sus nombres.
240500	241500	¿Y el mío?
241500	242500	Eso yo no tengo.
242500	243500	Exacto.
243500	245500	Es como, oiga...
245500	247500	Pero entonces, ¿hay muchas nombres?
247500	251500	Nosotros lo que venimos es a buscar la forma de buscarles facilidad.
251500	253500	Primero, escúchenme.
253500	258500	Nosotros no tenemos, o sea, nosotros no somos del inconveniente de lo que les ha pasado a ustedes.
258500	260500	Venimos a colaborarles.
260500	265500	Este policía, el trabajo de ustedes es defender a los autitefensos. Esto es una colaboración.
265500	266500	Escúchenme lo que les voy a decir entonces.
266500	267500	De un voluntariado.
267500	270500	Escúchenme, yo no soy de más antiguos también, sargento.
270500	273500	Lo lógico sería que usted no más ponga su denuncia.
273500	276500	Nosotros hacemos parte policial mediante...
276500	277500	No, yo he hecho parte policial.
277500	278500	Usted pone su denuncia.
278500	280500	¿Cómo es la denuncia si no la hemos firmado?
280500	281500	A ver, a ver, a ver.
281500	283500	Usted tiene que poner su denuncia en la fiscalía.
283500	286500	Y ahí le van a otorgar un agente investigador a usted.
286500	290500	Ahí él le va a hacer recuperar las pertenencias a los que se le han robado.
290500	292500	Entonces, vamos a hacer un agente investigador.
292500	294500	Ese es el procedimiento normal.
294500	298500	Porque el teléfono está ahí, la computadora está diciendo exactamente dónde está.
298500	302500	Y la policía aquí no se ha movilizado.
302500	305500	O sea, me refiero a lo que usted dice.
305500	308500	Y ustedes refutan llamar a nadie más.
308500	310500	Anoche nosotros vinimos, ¿qué le dijimos?
310500	314500	Usted quería que yo me metiera en un barrio con usted, hacer el trabajo de policía.
314500	316500	No, no, no, no.
316500	318500	El trabajo es lo que vamos a hacer nosotros.
318500	322500	Usted quiere que yo me metiera en un carro de policía.
322500	324500	Como ustedes, lo que son extraños para mí.
324500	325500	Ahí lo han robado.
325500	326500	Lo que son los extraños para nosotros.
326500	327500	Pero ese es su trabajo.
327500	328500	Por eso pues.
328500	330500	Usted también es extraño y yo lo atrepo a mi carro.
330500	331500	Porque ese es su trabajo.
331500	333500	Usted está entrenado.
333500	335500	Pero no sabemos de qué puede hacer.
335500	338500	Usted tiene un arma y usted está entrenado.
338500	339500	Y nosotros no.
339500	341500	Está bien, está bien.
341500	343500	Pero usted es un extraño y igual lo supo al carro, imagínese.
343500	344500	Puede pasar cualquier cosa.
344500	345500	Porque ese es su trabajo.
345500	347500	Acá viven muchos policías que me han matado así.
347500	349500	Señor, usted es la víctima.
349500	350500	Lo que pasamos nosotros.
350500	352500	Usted hizo lo mismo a Noche.
352500	353500	Estamos colaborando.
353500	354500	Estamos colaborando.
354500	356500	En mi país colaboración significa un voluntario.
356500	357500	En su país.
357500	358500	Acá es diferente.
358500	360500	Las leyes acá son diferentes.
360500	363500	No nos permite hacer muchas cosas.
363500	365500	Ese robo es parte de la ley que los protege.
365500	367500	Ustedes están protegiéndonos.
367500	369500	Están protegiéndonos.
369500	372500	Ustedes llegan aquí, ha sido esa víctima de que ya no está muerto.
372500	373500	Este carro no puede musar.
373500	375500	Si vamos allá me pueden atacar.
375500	377500	La situación es que vamos a ir o no vamos a ir.
377500	378500	¿A dónde?
378500	379500	A buscar donde está el jefe.
379500	381500	Yo no me voy a meter con usted a buscar un delincuente.
381500	382500	Imposible.
382500	383500	No están así entrenados.
383500	386500	¿Quiénes son sus jefes?
386500	387500	Muy bien.
387500	389500	Entonces acérquese a la fiscalía.
389500	390500	¿Quiénes son sus jefes?
390500	392500	Mis jefes pueden averiguar.
392500	396500	Váyanse a todo lo que es el mañana de Jesús.
396500	399500	Yo no quiero que manden llamar a otras personas.
399500	401500	Porque vamos a llamar quiénes están en ese lado.
401500	402500	Muy bien.
402500	403500	Voy a hablar con los jefes.
403500	405500	Con nuestros jefes voy a hablar.
405500	407500	Vamos a llamarlos.
407500	408500	No, vayan a hablar ustedes.
408500	409500	No, lláquenlos por favor.
409500	411500	¿Podemos hacer consulta?
411500	413500	No, podemos ir.
413500	414500	Lláquenlos por favor.
414500	415500	Vamos que hable de la tía.
415500	416500	Llámanle al aviónse por favor.
416500	418500	Que me manden otra cosa suya.
418500	420500	Por así mandándole a mi mamá.
420500	422500	Cabros las puertas, vamos a andarnos.
422500	424500	¿Quién es el delincuente?
424500	425500	Mira, se movió de nuevo.
425500	426500	Mira el teléfono moviendo.
426500	427500	Si la policía quiere ser donado.
427500	431500	¿Quién es el delincuente?
431500	432500	Yo puedo ir para allá, le digo.
432500	433500	Entonces, vayan.
433500	434500	Pero ¿cómo voy a hacer?
434500	437500	Llámenle a sus colegas de esa área.
437500	438500	¿Para qué los ayude?
438500	441500	Les voy literalmente, miren ahí literalmente donde están.
441500	444500	Esa es la que nos va a ver ahora mismo.
444500	445500	¿Ustedes lo que nos quieren ayudar?
445500	447500	Jefe, ¿si puede abrir la puerta a ver por favor?
447500	448500	Sí.
448500	449500	Muchas gracias.
449500	453500	La policía de Ecuador realmente no ha dejado con...
453500	454500	Esto es...
454500	456500	No tengo palabras para decirlo.
456500	458500	No tengo palabras para decir lo que es esto.
458500	460500	Ustedes están haciendo la víctima delante de nosotros.
460500	463500	Cuando nosotros somos la víctima, principalmente ese señor.
463500	465500	Mira, yo no me siento víctima ni nada.
465500	468500	Yo les estoy dando lo que está en mis posibilidades.
468500	471500	Señor, pero usted entiende que si usted estuviera en un país que no...
471500	472500	Escúchame por favor.
472500	474500	Que está en un país que no conoce.
474500	478500	Y a usted le dice, metese en un carro con gente que lo asaltaron.
478500	480500	A meterse en un barrio para ver.
480500	482500	Usted no se sintiera cómo.
482500	484500	No, usted no se va a meter con gente que lo asaltaron.
484500	487500	Pero quiere que estemos alrededor de eso.
487500	489500	Ya tengo miedo.
489500	490500	O sea, ya tengo miedo.
490500	492500	Ustedes están entrenando para eso.
492500	493500	Yo entiendo su miedo.
493500	495500	Tampoco es una cosa que se les vaya a exponer.
495500	498500	Pero es una cosa que se necesita.
498500	500500	No puedo ir yo a ciegas.
500500	502500	Eso quiero que me entienda usted.
502500	504500	Pero le estamos dando la dirección.
504500	505500	Yo le colaboro con gusto.
505500	506500	Llego a la dirección.
506500	507500	A ver, una...
507500	510500	Ustedes tienen tecnología para saber.
510500	511500	No.
511500	514500	La tecnología de nosotros no da nada para eso.
514500	518500	Miren, el sistema de rastreo de nosotros de un teléfono.
518500	521500	Nos da un radio alrededor de 100 metros.
521500	523500	No nos da una dirección exacta.
523500	526500	El que nos da la dirección exacta es esto.
526500	528500	El que se le está mostrando.
528500	529500	Ya.
529500	530500	Y si vamos para allá.
530500	532500	Yo voy al lugar.
532500	533500	Ya.
533500	536500	Usted no va a constatar que yo voy a realizar mi trabajo.
536500	538500	Ya le puedo decir que voy a ir a ese lugar.
538500	539500	Otra.
539500	541500	Sí.
541500	543500	Usted no puede llamar a sus colegas.
543500	545500	Porque si usted no sabe que hay que hacer...
545500	547500	Está inconforme con mi trabajo.
547500	548500	Muy inconforme.
548500	549500	Yo estoy en el culo.
549500	551500	Usted no ha hecho trabajo.
551500	553500	Usted no ha hecho trabajo, señor.
553500	554500	Ya.
554500	555500	A ver.
555500	558500	Hacer que sea la fiscalía, como la denuncia.
558500	560500	Y que le ayuden con eso.
560500	561500	Sí.
561500	564500	¿Cuánto tiempo?
564500	565500	No.
565500	567500	No, no, no.
567500	569500	No, no, no.
569500	572500	Hacemos un reporte nosotros de la demanda.
572500	574500	¿Cuánto tiempo es la demanda?
574500	576500	No, la denuncia la aceptan inmediatamente.
576500	579500	Ya sea la policía policial o la fiscalía.
579500	580500	Ok.
580500	582500	Pero entonces, ¿cuánto...
582500	584500	Ustedes dijeron que le...
584500	587500	Antes de que eso empiecen a trabajar ellos.
587500	588500	Es difícil.
588500	589500	Eso le expliqué.
589500	592500	La denuncia la aceptan y le archivan.
592500	594500	Eso le llama a un agente fiscal.
594500	597500	Él envía al personal de la PJ.
597500	599500	Eso no es inmediato.
599500	600500	Usted tiene que entender que...
600500	602500	Igual que usted dice que va a ser.
602500	603500	Nosotros también.
603500	604500	Porque tenía máscara.
604500	605500	Sólo te puedo decir.
605500	606500	Arte y flaco.
606500	607500	No, no.
607500	608500	La ubicación.
608500	609500	Podríamos ir con la ubicación.
609500	611500	Pero si le mandamos la ubicación.
611500	612500	Ustedes no pueden ir.
612500	613500	Si le mandamos.
613500	614500	Si eso es lo que falta.
614500	615500	Eso es fácil.
615500	618500	Si lo que falta es la ubicación.
618500	621500	Eso se puede mandar.
621500	622500	Enviadme la ubicación.
622500	624500	Enviadme la ubicación.
624500	625500	Tiene mi muro de teléfono.
625500	626500	Sí.
626500	627500	No nos da más problemas.
627500	630500	Y si se mueve me envían nuevamente.
630500	631500	Perfecto.
631500	632500	Eso es lo que queríamos.
632500	634500	Igual que ustedes están.
634500	635500	Si tienen máscara.
635500	637500	Nosotros del carro no vemos nada.
637500	640500	El teléfono le reconoce a ustedes.
640500	642500	Bueno, es un teléfono cualquiera.
642500	643500	Un iPhone azul.
643500	644500	Si tiene.
644500	647500	El otro teléfono.
647500	649500	No, usted también es caballero.
649500	652500	No, usted es 09.
652500	653500	93.
653500	655500	923.
655500	657500	403.
657500	659500	Ya, es el mismo.
664500	665500	593.
665500	666500	09.
666500	667500	93.
667500	668500	92.
668500	669500	34.
669500	671500	Este es con el código del país de invierno.
671500	673500	Si quiera lo ponen sin el código.
673500	674500	Sin el código.
674500	677500	Si, solo desde el 09.
677500	679500	No, sí.
679500	681500	Hay que entender.
681500	683500	No, no, está mal escrito.
683500	685500	403.
689500	691500	Pónganelo.
691500	694500	093.
694500	696500	922.
696500	711500	403.
711500	733500	093.
733500	735500	A ver, le guarda su número.
735500	737500	Con nombre de quien le guarda.
737500	755500	100.
755500	757500	10
767500	769500	Ya, como ustedes van a aclarar
769500	771500	Si pueden enviarme eso en tiempo real
771500	775500	yo inclusive les voy a enviar mi ubicación en tiempo real
775500	776500	Perfecto
776500	778500	Para que vean que la unidad está avanzando
778500	779500	Perfecto
779500	781500	Ya, si hay algún resultado, podían
781500	783500	Y adherir
783500	787500	Son altitos, más altos que él
787500	789500	Era más alto que él, un flaquito
789500	791500	Peló corto, lo único que yo vi
791500	793500	La cara no se la veía
795500	797500	El que le quitó el teléfono a él
797500	799500	Fue eso
803500	805500	Ya, el teléfono no es un iPhone
805500	807500	iPhone como este, literal, azul
807500	809500	Es así azul
809500	811500	Es así, igualito a eso
811500	813500	Bueno, no
813500	815500	El tuyo tiene dos cámaras
815500	817500	No tiene las tres, solo tiene dos
817500	819500	El bolso negro
819500	821500	Con cipers de plata
821500	823500	Más nos vamos por el teléfono
823500	825500	Por el teléfono
827500	829500	Ahí estamos de acuerdo
829500	831500	Miren la dirección
831500	833500	Miren la dirección
833500	835500	Busquen Google Maps en tu teléfono
835500	837500	Busca Oscar, Mia, Betis
837500	839500	Tú tienes como mandar a su correo
839500	841500	O sea, yo no, pues como yo lo quiero
841500	843500	Constantemente
843500	845500	Ostal, Mia, Betis
845500	847500	Si no, pero yo digo
847500	849500	Para que cada vez y cada vez
849500	851500	Uno mande el correo
851500	853500	No, no lo haces
859500	861500	Mándale el link de Google Maps
861500	863500	Pone el público, está en, donde está
863500	865500	Ostal, mira donde está el Ostal
865500	869500	¿Cómo dices el fabrico de mi tira?
869500	871500	Era como plástico
871500	873500	Bueno, oh
873500	875500	Tela
875500	877500	Era impermeable
877500	879500	Ok
883500	885500	Es como el intercambio
885500	887500	¿Ahorita está el Ostal?
887500	889500	Está ahí
891500	893500	¿Y ahí sería?
893500	895500	¿Dónde está el Ostal?
895500	897500	En el Ostal
897500	899500	Sería que está ahí, digo mal
899500	901500	Y ya
901500	903500	Sí, porque ahí hay un hospital
903500	905500	Dile
907500	909500	Abre
909500	911500	Abre
911500	927500	Abre
927500	929500	Yo lo que digo es
929500	931500	La tecnología de
931500	933500	Ustedes son dos
933500	935500	Su departamento, su policía, su organización
935500	937500	No tiene tecnología porque
937500	939500	Acabe
939500	941500	Lo mejor es inteligente
941500	943500	Que puedan con los radales
943500	945500	Y todas las tablazotas
947500	949500	Y ir con ellos al hospital
949500	951500	Y con ellos
951500	953500	Todas las opciones
953500	955500	Yo lo digo
955500	969500	Yo lo digo
